Wavelength,Intensity,Absorbance,Reflectance
1243.440287700184,21031,0.98007894,0.10469382
1244.6199830328283,20802,0.9869344,0.10305417
1245.7991950420983,19243,1.0227673,0.09489267
1246.9779237279945,18186,1.0492837,0.089272216
1248.1561690905162,21566,0.9769513,0.10545051
1250.511209845437,21101,0.9897623,0.10238532
1251.688005237836,19084,1.0348916,0.092280164
1252.8643173068608,18245,1.0558994,0.087922625
1254.0401460525113,21878,0.97850025,0.10507509
1255.2154914747875,21331,0.99119323,0.10204853
1256.3903535736895,19442,1.0331432,0.092652425
1258.738627801371,20453,1.0146149,0.096690774
1259.9120399301505,19759,1.031414,0.09302205
1261.0849687355558,20834,1.0101937,0.09768013
1262.2574142175865,21232,1.0040739,0.099066354
1263.4293763762432,18431,1.067993,0.08550803
1264.6008552115256,21298,1.0076624,0.09825115
1266.9423629119678,21826,1.0011029,0.09974636
1268.1123917771274,21431,1.0110544,0.09748675
1269.2819373189132,20836,1.0255976,0.09427628
1270.4509995373242,19533,1.0559438,0.08791362
1271.6195784323613,20918,1.0284774,0.09365318
1272.7876740040242,21772,1.0135173,0.09693548
1273.9552862523126,19176,1.0710583,0.08490666
1276.2890607787672,18884,1.0823206,0.08273312
1277.455223056933,21098,1.0363692,0.09196675
1278.6209020117244,23250,0.9963987,0.100832686
1279.7860976431418,20055,1.0625141,0.086593635
1280.950809951185,20571,1.0533879,0.088432536
1282.115038935854,21863,1.02883,0.09357719
1284.442046935069,22786,1.0145643,0.09670205
1285.6048259496151,20851,1.0549026,0.08812466
1286.767121640787,21502,1.0433383,0.090502724
1287.9289340085847,22256,1.0300412,0.09331656
1289.0902630530084,22129,1.0341914,0.09242908
1290.2511087740577,19287,1.095545,0.08025182
1292.5713502460335,22238,1.0366371,0.091910034
1293.73074599696,22288,1.0371132,0.09180933
1294.8896584245122,21092,1.0623937,0.08661763
1296.0480875286903,21246,1.060271,0.08704202
1297.2060333094942,24435,1.0005099,0.099882685
1298.3634957669237,23058,1.0266882,0.09403982
1299.5204749009793,19899,1.0916587,0.08097319
1301.8329831989672,19324,1.1061865,0.07830932
1302.9885123628999,18398,1.128327,0.07441714
1304.1435582034583,20434,1.0835533,0.08249862
1305.2981207206426,22577,1.0408223,0.09102858
1306.4521999144524,18939,1.1177106,0.0762587
1307.6057957848882,21890,1.0553968,0.088024415
1309.9115375556369,21737,1.0596567,0.087165214
1311.06368345595,20663,1.0822669,0.08274335
1312.2153460328886,20451,1.0876005,0.08173338
1313.3665252864532,23287,1.0320512,0.09288569
1314.5172212166435,22086,1.0558939,0.08792373
1315.6674338234598,18971,1.1222302,0.07546922
1317.9664090669692,18483,1.1341642,0.07342362
1319.1151717036626,20938,1.0801361,0.08315033
1320.2634510169817,20470,1.0900862,0.081266925
1321.4112470069265,18738,1.1286136,0.07436806
1322.5585596734973,16397,1.1868722,0.0650321
1323.7053890166935,16339,1.188709,0.06475764
1324.851735036516,18295,1.1398981,0.072460614
1327.1429771060375,20290,1.0957475,0.08021443
1328.287873155737,19356,1.116636,0.07644761
1329.4322858820622,19291,1.1186095,0.07610102
1330.5762152850134,18793,1.1301771,0.0741008
